,Unnamed: 0,Grain texture,"Proteincontent","GlutenStrength",Starch
0,Bread wheat,,,,
1,1. Chapati,Hard,10-13%,"Medium,extensible",----
2,"2. Biscuit, Cakes",Soft/ Very Soft,8-10%,"Weak,extensible",----
3,3. Bread,Hard,>13%,"Strong,extensible",Partial Waxy
4,4. White  Noodle,Soft,10-12,Medium,Partial  Waxy
5,5. Yellow  Noodle,Medium,10-13,Medium,Partial  Waxy
6,Durum wheat,,,,
7,Pasta products,Hard,>13%,Strong,Partial Waxy
