iter	Accuracy	MultiClass
98	0.6550207659	0.941921337
99	0.6569455802	0.9378186077
100	0.6577240766	0.9353534436
101	0.6588507537	0.9331897571
102	0.6593203513	0.9314788172
103	0.6618915319	0.9264630062
104	0.6625771801	0.9248997083
105	0.6636252933	0.9223953181
106	0.6641555993	0.9206424738
107	0.6655751053	0.9175171055
108	0.6659839944	0.9165189317
109	0.667026751	0.9137845413
110	0.6678695269	0.9119277449
111	0.6694550883	0.9083453337
112	0.6699603967	0.9068266185
113	0.6721726833	0.9023796701
114	0.6732672207	0.8999141154
115	0.6742439122	0.8976460306
116	0.6750563339	0.8953747652
117	0.676081235	0.8932904796
118	0.6765901145	0.8917338216
119	0.6775293097	0.8897763095
120	0.678350659	0.8878435718
121	0.6796594614	0.884627643
122	0.6802968999	0.8832025573
123	0.6811289626	0.8806194916
124	0.6816878372	0.8786965185
125	0.6824966878	0.877006224
126	0.6831769794	0.875240825
127	0.6841733119	0.8727203091
128	0.6848768154	0.8705922777
129	0.6852946323	0.8695114668
130	0.6859999214	0.8678731761
131	0.6870212515	0.8652771652
132	0.6877301117	0.86329672
133	0.6889353527	0.8611497173
134	0.6899727526	0.8587870545
135	0.6911494249	0.8560430668
136	0.6916511622	0.8543883157
137	0.6921671839	0.8530619927
138	0.692872473	0.8514577947
139	0.6933509983	0.8502319084
140	0.6940670007	0.8485868662
141	0.6949312031	0.8462276629
142	0.6955186464	0.8446133654
143	0.6963364247	0.8426112705
144	0.697216697	0.8407283048
145	0.6978094969	0.8390416371
146	0.6983737282	0.8377521409
147	0.7005092366	0.8331974461
148	0.7013912944	0.8315598808
149	0.7024233377	0.8296827739
150	0.7033678895	0.8276720861
151	0.7037321401	0.8266462921
152	0.7048356051	0.8245515723
153	0.705592675	0.8229043539
154	0.7064158099	0.820883455
155	0.7070318219	0.8195382722
156	0.7079335207	0.8176228319
157	0.7083227689	0.8169933725
158	0.7091691158	0.8149792252
159	0.7098779761	0.8132721354
160	0.7105439833	0.8116869088
161	0.7115331736	0.8090285714
162	0.7121099037	0.8079190243
163	0.7126759205	0.8066349406
164	0.7132633639	0.8056055755
165	0.7142704096	0.8034586285
166	0.7155238602	0.8005601357
167	0.7162291493	0.7987594723
168	0.7170540698	0.7971859075
169	0.7183807276	0.794523999
170	0.719077089	0.7929168995
171	0.7199841444	0.7909333854
172	0.7202037661	0.7899537366
173	0.7211875998	0.7879999072
174	0.7219375275	0.7866571237
175	0.7229231467	0.7847061399
176	0.723464166	0.783321452
177	0.7238159178	0.7824578076
178	0.7243944334	0.7811782435
179	0.7249658069	0.7797758676
180	0.7257925129	0.7779701265
181	0.7265388695	0.7764829932
182	0.7269566863	0.7754376698
183	0.7277673224	0.7740562182
184	0.7284297586	0.7718665856
185	0.729531438	0.7697718657
186	0.7302599392	0.7682328958
187	0.7311294982	0.7665404809
188	0.7316508765	0.7650640608
189	0.7326079271	0.7632808622
190	0.7337113921	0.7614181512
191	0.7347148668	0.7591508475
192	0.7353737318	0.7576938451
193	0.7360450957	0.7563566415
194	0.7365343342	0.7550480623
195	0.7369985751	0.753990575
196	0.7373378281	0.7530882625
197	0.7379681245	0.7517594286
198	0.7390715895	0.7496084641
199	0.7401589847	0.7472814563
200	0.7408232063	0.745884995
201	0.7413963654	0.7445375803
202	0.7421605774	0.7431976425
203	0.7432586858	0.7409580148
204	0.7436175797	0.740069596
205	0.7447853243	0.7379257179
206	0.7454334761	0.7365101178
207	0.7462708953	0.7349325913
208	0.746619076	0.7338208124
209	0.7474743507	0.7322875339
210	0.7479689459	0.7310635448
211	0.7485903145	0.7298930661
212	0.7489759916	0.7288248655
213	0.7498491217	0.7274016211
214	0.7508240277	0.7259134275
215	0.7512114903	0.7248423255
216	0.7518721409	0.7233276278
217	0.7523667361	0.7222186387
218	0.7532666493	0.7202254716
219	0.754016577	0.7186432581
220	0.7547754324	0.7167717867
221	0.7556771311	0.7151590516
222	0.7572555504	0.7123362769
223	0.7577215768	0.7111791899
224	0.7583875841	0.7100583716
225	0.7589071768	0.7087309884
226	0.75951069	0.7073837411
227	0.7600499238	0.7060684662
228	0.7606230828	0.7048241665
229	0.7609784057	0.7039104711
230	0.7614730008	0.7029997889
231	0.7620693719	0.7018523549
232	0.762880008	0.7002665703
233	0.7638763405	0.6986754291
234	0.7644869959	0.6975851882
235	0.7647530417	0.6968556827
236	0.7652940609	0.6955701481
237	0.7659065019	0.6944664041
238	0.7666492874	0.6930102387
239	0.7669260464	0.6919891876
240	0.7676045524	0.6906873043
241	0.7684633982	0.689023737
242	0.7695132969	0.6870141094
243	0.7699953933	0.6859601373
244	0.7703507162	0.6848453453
245	0.7707078246	0.6838972782
246	0.7715327451	0.6823353752
247	0.7721951812	0.6809813763
248	0.7729361812	0.6795820135
249	0.7733218582	0.6786273065
250	0.7741753474	0.676805105
251	0.7749092052	0.6752519623
252	0.7757019859	0.6737483127
253	0.7764804822	0.6723815918
254	0.7774393184	0.6707224326
255	0.778041046	0.6694791931
256	0.7785338557	0.6685734768
257	0.778973099	0.6677049222
258	0.7800069279	0.6657809448
259	0.7806765062	0.6641533116
260	0.7813103736	0.6626450307
261	0.7818638917	0.6615412308
262	0.7819674531	0.6610579627
263	0.7829405736	0.6595726149
264	0.7833066097	0.6588813869
265	0.7838190603	0.6578001853
266	0.7845279205	0.656422807
267	0.7850778675	0.6551627165
268	0.7857670867	0.65372675
269	0.7865277277	0.6523744251
270	0.7870741036	0.6511665616
271	0.7876740457	0.6496402021
272	0.7886364529	0.6479963316
273	0.7887007324	0.6475777894
274	0.7893935228	0.6464985966
275	0.7905969781	0.6443608005
276	0.7914486817	0.6427150886
277	0.7920218408	0.6413625405
278	0.7925485757	0.640087775
279	0.7933377853	0.6383706415
280	0.7939234431	0.6371252259
281	0.794216272	0.6365516205
282	0.7951197563	0.6347697052
283	0.7957232695	0.6334288747
284	0.7963071418	0.6321332965
285	0.7968695876	0.6309161706
286	0.7975213104	0.6296535691
287	0.7981605345	0.6279600382
288	0.7986122767	0.6269125946
289	0.7990997297	0.6260140763
290	0.7996389634	0.6249686414
291	0.800451385	0.6234717433
292	0.8010781103	0.6220207114
293	0.8018673199	0.6207394733
294	0.8022351416	0.6197623912
295	0.8030350645	0.6181506605
296	0.8034421681	0.6171970136
297	0.8041831681	0.6158829104
298	0.8051687873	0.6138223948
299	0.8059454981	0.6124941747
300	0.8064418788	0.6116297491
301	0.8071578812	0.6102630282
302	0.8075596282	0.6091751309
303	0.8081363583	0.6078789947
304	0.8083952619	0.6074230677
305	0.8089773486	0.6062543188
306	0.8094487317	0.6052973798
307	0.8103272184	0.6039104042
308	0.8108253847	0.6028537538
309	0.8110646473	0.6020269362
310	0.8115235317	0.6008705187
311	0.8121252593	0.5995233272
312	0.8129823196	0.5979478095
313	0.8137197485	0.5967857006
314	0.8139857942	0.5960386744
315	0.8145660954	0.5948798018
316	0.8153820882	0.5935911426
317	0.8155338592	0.5928272653
318	0.8160195267	0.5917707824
319	0.8165230496	0.590883089
320	0.8168908712	0.5898357011
321	0.8175140254	0.5887247591
322	0.8181246808	0.587735234
323	0.8186799844	0.5866602261
324	0.8188585386	0.586088741
325	0.8194763362	0.5850787379
326	0.8200530663	0.5836030432
327	0.8203566085	0.582813164
328	0.8211101072	0.5813885246
329	0.821376153	0.5806425028
330	0.8217903988	0.5797511267
331	0.8226028204	0.5778631949
332	0.8229652855	0.5770795651
333	0.8234473819	0.5760937227
334	0.8238473433	0.5751980501
335	0.8242437336	0.5741183551
336	0.8248633168	0.5726811611
337	0.8252311384	0.5719560636
338	0.8258096541	0.5707917786
339	0.8262363986	0.5698534762
340	0.8266702854	0.5687371218
341	0.8271166709	0.5678551198
342	0.827588054	0.5667406625
343	0.8281308588	0.5656355235
344	0.8284951094	0.5648323086
345	0.8287932949	0.5639477957
346	0.829221825	0.5632635982
347	0.8296771383	0.5624031901
348	0.8299717527	0.5617141383
349	0.8302324419	0.5610367482
350	0.8306770419	0.5601236666
351	0.8314966057	0.558626936
352	0.8317912201	0.557651751
353	0.8319287069	0.5572054213
354	0.8324447285	0.5561796273
355	0.8330303864	0.5549026299
356	0.8332964321	0.5541489638
357	0.8333535695	0.553702634
358	0.833632114	0.5530035943
359	0.8341606345	0.5521285671
360	0.8344927453	0.551206781
361	0.8350373357	0.5502594393
362	0.8359801019	0.5483338437
363	0.8368657308	0.5466749077
364	0.8371889139	0.546041654
365	0.8375710199	0.5449949358
366	0.8380995404	0.5439590981
367	0.8384102247	0.5431528701
368	0.8388619669	0.5421784663
369	0.8395369018	0.5406454668
370	0.8397868777	0.5399430791
371	0.8401725548	0.5392118439
372	0.8404760969	0.5385615717
373	0.8411617451	0.5371329149
374	0.8417848993	0.5359133896
375	0.8420205909	0.5354599177
376	0.8423080632	0.5347688013
377	0.8426973113	0.5339263602
378	0.8430740607	0.5331367042
379	0.8435847258	0.5318581445
380	0.8437900631	0.5310254681
381	0.84405968	0.5303466831
382	0.844398933	0.5297892592
383	0.8447917522	0.5287596709
384	0.8450113739	0.5280335133
385	0.8455666775	0.5268547207
386	0.8459952076	0.5261254941
387	0.8461844751	0.5255040139
388	0.8469933256	0.5240466767
389	0.8472700847	0.5233200169
390	0.8474718509	0.5228206231
391	0.8477968196	0.5222511468
392	0.848236063	0.5211747997
393	0.8486163834	0.5200649736
394	0.849043128	0.5192709654
395	0.8493841665	0.5185242182
396	0.849616287	0.5179179709
397	0.8502447978	0.5166137997
398	0.8504769183	0.5160150852
399	0.8508143858	0.5153248615
400	0.8510268653	0.5146317364
401	0.8515821689	0.5137671992
402	0.8517982195	0.5131391906
403	0.8522428194	0.5123592993
404	0.85245887	0.511925022
405	0.8528570459	0.5110212587
406	0.8532552218	0.5102188807
407	0.8538265953	0.5092540184
408	0.8542640531	0.5083226908
409	0.8546283037	0.5074137382
410	0.8550621904	0.506563597
411	0.855403229	0.505786942
412	0.8557728362	0.5049276498
413	0.8560888771	0.5040185299
414	0.8563442097	0.5034218241
415	0.8566370386	0.5028230537
416	0.8569120121	0.5018948508
417	0.8573369711	0.500948904
418	0.8578065687	0.4999623362
419	0.8579833373	0.4993034712
420	0.8583190192	0.4983522236
421	0.8587796891	0.4973925505
422	0.8588439686	0.4967219121
423	0.8593099951	0.4960208636
424	0.8594617662	0.495366853
425	0.8597885204	0.4947429176
426	0.8599938577	0.4941883952
427	0.8602795445	0.4935587684
428	0.8605741589	0.4929589379
429	0.8607777107	0.4923444882
430	0.8612848047	0.491283374
431	0.8617954697	0.4903058455
432	0.862020448	0.4899137516
433	0.862547183	0.4888497359
434	0.8628721516	0.48793565
435	0.8630453492	0.4873494342
436	0.8635078046	0.4864164326
437	0.863907766	0.4851851897
438	0.8643255829	0.4842301479
439	0.8647076889	0.4833514938
440	0.8648755299	0.4828995284
441	0.8650755106	0.4824391934
442	0.8655861756	0.4813014125
443	0.8659414985	0.4805751432
444	0.8663128913	0.4797914576
445	0.8665735804	0.4789104042
446	0.8667217804	0.478428252
447	0.867171737	0.4774802407
448	0.867530631	0.4768241656
449	0.8679288069	0.4758819574
450	0.86810379	0.4754776995
451	0.8685073225	0.4747621993
452	0.8686001707	0.4742774246
453	0.8690411996	0.4734946876
454	0.8693429562	0.4728121641
455	0.8695340092	0.4721523505
456	0.8700393176	0.4711597007
457	0.8703232188	0.4704877231
458	0.8704249947	0.4700550639
459	0.8706803273	0.4693884987
460	0.8707213947	0.4690416013
461	0.8710767176	0.4683877023
462	0.8712320598	0.4681210428
463	0.8715909537	0.4674190179
464	0.8717034429	0.4670563017
465	0.8717891489	0.4667532896
466	0.8720766212	0.4661164928
467	0.8723515947	0.465510357
468	0.8726319248	0.4647837809
469	0.8732872187	0.4634423645
470	0.8735104115	0.4628354755
471	0.8734800573	0.4625351696
472	0.8738550211	0.4618540411
473	0.8742067729	0.4611693415
474	0.8745781657	0.4603692791
475	0.8748370693	0.4597564755
476	0.8749531295	0.4594891743
477	0.8752388163	0.4586284872
478	0.875695915	0.4578060218
479	0.8759869584	0.4572542893
480	0.8762387198	0.4565487212
481	0.8765940427	0.455846222
482	0.8768565174	0.4552842226
483	0.87709578	0.4547925289
484	0.877536809	0.4538264391
485	0.8781367511	0.452659113
486	0.8784617198	0.4520617097
487	0.87857778	0.4515724711
488	0.8789473872	0.4508408732
489	0.8792027197	0.4502579495
490	0.8794544812	0.4497252999
491	0.8797562378	0.4490374477
492	0.8798562281	0.4485686313
493	0.8802776161	0.4477121849
494	0.8804936667	0.4472569833
495	0.8808722016	0.4464402093
496	0.8809846908	0.4459027333
497	0.8815632064	0.444881459
498	0.8817435462	0.4444124194
499	0.8820256618	0.4438979601
500	0.8820578016	0.4437357826
501	0.8823506305	0.4430244394
502	0.8824166955	0.4427301597
503	0.8826006064	0.442111302
504	0.8829077196	0.4414297829
505	0.8833380353	0.4406419961
506	0.8835362304	0.4400517629
507	0.883729069	0.4396238465
508	0.8839415485	0.4390806791
509	0.884130816	0.4385334941
510	0.884302228	0.4381748233
511	0.8845075653	0.4374804427
512	0.8848718159	0.4366755817
513	0.8853610545	0.4357664618
514	0.8854574737	0.4352733174
515	0.8857145918	0.4347243748
516	0.885830652	0.4342703449
517	0.886275252	0.4333328237
518	0.8865805797	0.4327873406
519	0.8866484303	0.432362828
520	0.8868037725	0.4320064728
521	0.8870073243	0.4314871312
522	0.8871573098	0.4311385599
523	0.8873608616	0.4305771185
524	0.8877072568	0.4296578991
525	0.8879733026	0.4288661785
526	0.8883071989	0.4280817397
527	0.8884607556	0.4275468303
528	0.8889142833	0.4265545153
529	0.8891535459	0.4260807049
530	0.8894874423	0.4253166324
531	0.8899713242	0.4243451301
532	0.8902766519	0.4235221347
533	0.8905284133	0.4229284698
534	0.89068197	0.4225702455
535	0.8908515965	0.4220165321
536	0.8912640567	0.4212437272
537	0.8913694037	0.42088793
538	0.8916104518	0.4199890769
539	0.8919282783	0.4193063582
540	0.8923960904	0.4182500705
541	0.8926067843	0.4178098507
542	0.8926710639	0.4174470509
543	0.892994247	0.4165971049
544	0.8931835144	0.4161280374
545	0.8933709964	0.4156836048
546	0.8935799048	0.4150522762
547	0.8937977409	0.4145929176
548	0.8939816518	0.4140623047
549	0.8940798566	0.4135769999
550	0.8942476975	0.4131037755
551	0.8943762566	0.4127814572
552	0.894499459	0.4125370612
553	0.894756577	0.4118425411
554	0.8948976349	0.4114983499
555	0.8950136951	0.4111769803
556	0.8952243891	0.4106312739
557	0.8954475818	0.4101071057
558	0.8956725601	0.4097046613
559	0.8959296782	0.4091884164
560	0.8961225168	0.4086303787
561	0.8962939288	0.4081457435
562	0.8963724927	0.4077901138
563	0.8965064083	0.4072516054
564	0.8967046035	0.4069889354
565	0.8969420806	0.4065294094
566	0.8972974035	0.4057515827
567	0.8974563167	0.4052772701
568	0.8977848565	0.4046096727
569	0.8981437504	0.4039451441
570	0.8983651576	0.4032798344
571	0.8986115625	0.4027986866
572	0.8991097287	0.40159724
573	0.8992954251	0.4010679662
574	0.8994454106	0.4006406916
