iter	Passed	Remaining
400	21680	32385
401	21738	32337
402	21790	32280
403	21843	32224
404	21890	32159
405	21946	32109
406	22002	32057
407	22058	32006
408	22119	31963
409	22176	31912
410	22230	31857
411	22281	31800
412	22334	31743
413	22387	31688
414	22437	31628
415	22487	31568
416	22541	31515
417	22599	31466
418	22655	31414
419	22706	31356
420	22762	31305
421	22819	31255
422	22869	31195
423	22926	31145
424	22979	31089
425	23032	31034
426	23090	30985
427	23144	30932
428	23198	30876
429	23248	30818
430	23301	30762
431	23362	30716
432	23412	30657
433	23467	30605
434	23524	30555
435	23581	30504
436	23639	30455
437	23696	30404
438	23752	30353
439	23813	30308
440	23869	30256
441	23920	30198
442	23979	30150
443	24032	30095
444	24087	30041
445	24139	29985
446	24190	29927
447	24250	29880
448	24305	29827
449	24362	29775
450	24414	29719
451	24472	29670
452	24527	29616
453	24583	29564
454	24635	29508
455	24688	29453
456	24747	29405
457	24803	29352
458	24855	29295
459	24912	29244
460	24958	29181
461	25011	29125
462	25056	29060
463	25109	29006
464	25160	28948
465	25219	28899
466	25279	28852
467	25328	28792
468	25382	28737
469	25443	28691
470	25497	28637
471	25542	28572
472	25597	28519
473	25652	28466
474	25710	28417
475	25762	28360
476	25811	28300
477	25868	28249
478	25924	28197
479	25977	28142
480	26035	28092
481	26094	28043
482	26152	27993
483	26211	27944
484	26269	27894
485	26331	27848
486	26385	27793
487	26437	27737
488	26492	27684
489	26546	27629
490	26600	27575
491	26655	27522
492	26705	27464
493	26762	27413
494	26818	27360
495	26875	27309
496	26929	27254
497	26988	27205
498	27046	27154
499	27100	27100
500	27144	27036
501	27204	26988
502	27255	26930
503	27310	26876
504	27367	26825
505	27426	26776
506	27479	26720
507	27531	26663
508	27586	26611
509	27639	26555
510	27688	26496
511	27746	26445
512	27809	26400
513	27869	26351
514	27920	26294
515	27974	26239
516	28025	26182
517	28087	26135
518	28142	26081
519	28193	26025
520	28249	25972
521	28305	25919
522	28357	25863
523	28410	25808
524	28471	25760
525	28532	25711
526	28603	25672
527	28663	25623
528	28723	25574
529	28776	25519
530	28835	25468
531	28896	25420
532	28957	25371
533	29013	25318
534	29065	25262
535	29119	25208
536	29179	25158
537	29231	25101
538	29295	25056
539	29353	25005
540	29420	24961
541	29475	24906
542	29531	24854
543	29591	24804
544	29649	24753
545	29707	24702
546	29764	24649
547	29822	24598
548	29882	24548
549	29932	24490
550	29988	24436
551	30039	24379
552	30089	24322
553	30151	24273
554	30203	24217
555	30258	24163
556	30324	24118
557	30378	24062
558	30432	24008
559	30492	23958
560	30551	23907
561	30601	23849
562	30647	23788
563	30703	23735
564	30752	23676
565	30803	23619
566	30862	23568
567	30914	23512
568	30970	23459
569	31029	23407
570	31083	23353
571	31140	23300
572	31204	23253
573	31259	23199
574	31312	23143
575	31373	23094
576	31424	23037
577	31481	22985
578	31541	22934
579	31595	22879
