iter	Accuracy	MultiClass
210	0.7104591837	1.556364597
211	0.7106292517	1.555062679
212	0.7105442177	1.553813244
213	0.7105442177	1.552518136
214	0.7104591837	1.551209908
215	0.7102891156	1.549900351
216	0.7104591837	1.548612218
217	0.7102891156	1.547359295
218	0.7102040816	1.546057046
219	0.7100340136	1.544772899
220	0.7103741497	1.543480947
221	0.7101190476	1.542249615
222	0.7099489796	1.540994865
223	0.7103741497	1.539740281
224	0.7102040816	1.538464937
225	0.7099489796	1.53718843
226	0.7098639456	1.535978854
227	0.7098639456	1.534701019
228	0.7098639456	1.533468358
229	0.7098639456	1.532196336
230	0.7099489796	1.530938928
231	0.7099489796	1.52969132
232	0.7097789116	1.528469454
233	0.7098639456	1.527254564
234	0.7103741497	1.526038511
235	0.7102040816	1.524844547
236	0.7103741497	1.523633311
237	0.7101190476	1.522397992
238	0.7102891156	1.521185095
239	0.7102891156	1.519970537
240	0.7099489796	1.518774414
241	0.7100340136	1.517570319
242	0.7103741497	1.51637403
243	0.7107142857	1.515157147
244	0.7106292517	1.513958865
245	0.7107142857	1.512747296
246	0.7107142857	1.511554163
247	0.7106292517	1.510362026
248	0.7105442177	1.509149128
249	0.7107142857	1.508003328
250	0.7105442177	1.506832948
251	0.7106292517	1.505654928
252	0.7107993197	1.50449252
253	0.7106292517	1.503296563
254	0.7103741497	1.502129836
255	0.7104591837	1.500961615
256	0.7104591837	1.499780772
257	0.7106292517	1.498601091
258	0.7104591837	1.497421742
259	0.7106292517	1.496247874
260	0.7102891156	1.495130142
261	0.7106292517	1.493970723
262	0.7104591837	1.492823594
263	0.7105442177	1.491659027
264	0.7105442177	1.490518209
265	0.7108843537	1.489367925
266	0.7107993197	1.488228436
267	0.7103741497	1.487109541
268	0.7100340136	1.4859659
269	0.7100340136	1.484814785
270	0.7101190476	1.483686756
271	0.7099489796	1.482559557
272	0.7099489796	1.481471221
273	0.7099489796	1.480393349
274	0.7101190476	1.479314812
275	0.7102040816	1.4781818
276	0.7101190476	1.477041979
277	0.7102891156	1.475915776
278	0.7107142857	1.474791401
279	0.7108843537	1.473671011
280	0.7107142857	1.472541155
281	0.7107993197	1.471449498
282	0.7106292517	1.470362325
283	0.7107993197	1.469269505
284	0.7102040816	1.468165225
285	0.7102891156	1.467072737
286	0.7105442177	1.465974769
287	0.7105442177	1.464926293
288	0.7106292517	1.463848752
289	0.7104591837	1.462789481
290	0.7104591837	1.461699484
291	0.7107142857	1.460615135
292	0.7107993197	1.459550383
293	0.7107993197	1.458450753
294	0.7110544218	1.457373877
295	0.7111394558	1.456325733
296	0.7110544218	1.45525085
297	0.7110544218	1.454206859
298	0.7112244898	1.453198242
299	0.7111394558	1.452134985
300	0.7111394558	1.451071063
301	0.7111394558	1.450050655
302	0.7112244898	1.448998691
303	0.7111394558	1.447915338
304	0.7112244898	1.446864205
305	0.7111394558	1.445811244
306	0.7109693878	1.444739351
307	0.7109693878	1.443684564
308	0.7110544218	1.442675781
309	0.7110544218	1.441624316
310	0.7110544218	1.440604904
311	0.7110544218	1.439565563
312	0.7109693878	1.438559437
313	0.7111394558	1.437517106
314	0.7109693878	1.436497529
315	0.7111394558	1.435465329
316	0.7109693878	1.434451398
317	0.7109693878	1.433434643
318	0.7110544218	1.432415232
319	0.7108843537	1.431414089
320	0.7108843537	1.430406469
321	0.7109693878	1.429428246
322	0.7110544218	1.428426439
323	0.7109693878	1.4274243
324	0.7112244898	1.426463681
325	0.7112244898	1.425463369
326	0.7112244898	1.424473022
327	0.7111394558	1.423471547
328	0.7112244898	1.422487178
329	0.7113945578	1.421522076
330	0.7112244898	1.420525085
331	0.7112244898	1.419551512
332	0.7112244898	1.418608
333	0.7111394558	1.417662993
334	0.7111394558	1.416673974
335	0.7111394558	1.4156818
336	0.7111394558	1.414692117
337	0.7113095238	1.413735651
338	0.7115646259	1.412728529
339	0.7112244898	1.411758942
340	0.7112244898	1.4108048
341	0.7112244898	1.409846507
342	0.7113095238	1.408905652
343	0.7112244898	1.407906336
344	0.7113945578	1.406948209
345	0.7113095238	1.405989251
346	0.7113095238	1.405031622
347	0.7112244898	1.404066021
348	0.7113095238	1.403120516
349	0.7113095238	1.402201916
350	0.7112244898	1.401260065
351	0.7112244898	1.400307584
352	0.7112244898	1.39934929
353	0.7113095238	1.398417404
354	0.7114795918	1.39747356
355	0.7114795918	1.396568745
356	0.7114795918	1.39562324
357	0.7116496599	1.39470082
358	0.7119897959	1.39376146
359	0.7119047619	1.392828411
360	0.7120748299	1.391886061
361	0.712244898	1.390933082
362	0.7120748299	1.39001523
363	0.712244898	1.38906142
364	0.712244898	1.388146973
365	0.712755102	1.387227376
366	0.712585034	1.386315835
367	0.7128401361	1.38540911
368	0.7129251701	1.384452394
369	0.7129251701	1.383543427
370	0.7129251701	1.382658044
371	0.7129251701	1.381762529
372	0.7130952381	1.380851071
373	0.7130952381	1.379917275
374	0.7130952381	1.379001913
375	0.7136904762	1.378097264
376	0.7134353741	1.377212545
377	0.7132653061	1.376333971
378	0.7136904762	1.375404742
379	0.7140306122	1.374514957
380	0.7140306122	1.373596108
381	0.7141156463	1.372695694
382	0.7141156463	1.371774686
383	0.7140306122	1.370914963
384	0.7139455782	1.370058561
385	0.7139455782	1.369134231
386	0.7140306122	1.368227174
387	0.7140306122	1.36734561
388	0.7141156463	1.366461057
389	0.7139455782	1.365593112
390	0.7140306122	1.364733472
391	0.7143707483	1.363893927
392	0.7142857143	1.363029636
393	0.7141156463	1.362170991
394	0.7140306122	1.361330782
395	0.7140306122	1.360478034
396	0.7141156463	1.359614241
397	0.7139455782	1.358740483
398	0.7140306122	1.357888566
399	0.7141156463	1.357000027
400	0.7139455782	1.356117217
401	0.7141156463	1.355255335
402	0.7140306122	1.354410807
403	0.7142857143	1.353522351
404	0.7142006803	1.352707802
405	0.7145408163	1.35186452
406	0.7146258503	1.351009447
407	0.7145408163	1.350130374
408	0.7144557823	1.349264256
409	0.7144557823	1.348431189
410	0.7144557823	1.34756806
411	0.7144557823	1.346756002
412	0.7142857143	1.345930657
413	0.7143707483	1.34507002
414	0.7143707483	1.34423197
415	0.7141156463	1.343405546
416	0.7142857143	1.342569904
417	0.7140306122	1.341736587
418	0.7142006803	1.340874953
419	0.7141156463	1.340048944
420	0.7142006803	1.339231655
421	0.7141156463	1.338380982
422	0.7141156463	1.337608286
423	0.7141156463	1.336799466
424	0.7140306122	1.3359801
425	0.7136904762	1.335170865
426	0.7140306122	1.334332068
427	0.7139455782	1.333490447
428	0.7137755102	1.332694997
429	0.7140306122	1.331887091
430	0.7139455782	1.331046383
431	0.7141156463	1.330252262
432	0.7143707483	1.329460798
433	0.7143707483	1.328659867
434	0.7144557823	1.327867573
435	0.7147108844	1.327087984
436	0.7146258503	1.326303412
437	0.7149659864	1.325500322
438	0.7147959184	1.324679379
439	0.7150510204	1.323857023
440	0.7150510204	1.323058916
441	0.7151360544	1.322240464
442	0.7151360544	1.321429485
443	0.7151360544	1.320674559
444	0.7151360544	1.319863829
445	0.7149659864	1.319044297
446	0.7150510204	1.318250757
447	0.7150510204	1.31747258
448	0.7149659864	1.316709018
449	0.7152210884	1.315909997
450	0.7152210884	1.315101177
451	0.7149659864	1.314316523
452	0.7152210884	1.313510443
453	0.7151360544	1.312696807
454	0.7149659864	1.311931169
455	0.7148809524	1.311138542
456	0.7148809524	1.310379963
457	0.7148809524	1.309607847
458	0.7147959184	1.308849932
459	0.7150510204	1.308129966
460	0.7150510204	1.307362833
461	0.7150510204	1.306573279
462	0.7149659864	1.305804983
463	0.7149659864	1.305032785
464	0.7148809524	1.304239494
465	0.7148809524	1.30345459
466	0.7148809524	1.302673921
467	0.7147108844	1.301896823
468	0.7147959184	1.301166893
469	0.7147959184	1.300390127
470	0.7147959184	1.299645083
471	0.7148809524	1.298883513
472	0.7148809524	1.29816579
473	0.7151360544	1.297403307
474	0.7151360544	1.296610265
475	0.7151360544	1.295870951
476	0.7151360544	1.295134792
477	0.7150510204	1.294376794
478	0.7152210884	1.293620539
479	0.7151360544	1.292874914
480	0.7152210884	1.29211268
481	0.7152210884	1.291365477
482	0.7152210884	1.29064576
483	0.7150510204	1.289879209
484	0.7152210884	1.28912777
485	0.7151360544	1.288388124
486	0.7154761905	1.287629046
487	0.7152210884	1.286894963
488	0.7153911565	1.286201737
489	0.7153061224	1.285449883
490	0.7153061224	1.284736312
491	0.7154761905	1.283992015
492	0.7151360544	1.283243815
493	0.7150510204	1.282495698
494	0.7152210884	1.281784203
495	0.7152210884	1.281073289
496	0.7152210884	1.280321435
497	0.7152210884	1.279578965
498	0.7152210884	1.278844301
499	0.7153061224	1.278141193
500	0.7153911565	1.277402128
501	0.7155612245	1.27671214
502	0.7153061224	1.275984119
503	0.7152210884	1.275275779
504	0.7151360544	1.274565446
505	0.7152210884	1.273866656
506	0.7153061224	1.273152669
507	0.7153911565	1.272454876
508	0.7153911565	1.271730924
509	0.7155612245	1.271026321
510	0.7157312925	1.270324209
511	0.7159013605	1.269634055
512	0.7158163265	1.268916996
513	0.7158163265	1.268209569
514	0.7158163265	1.267511941
515	0.7158163265	1.266816971
516	0.7159013605	1.266115357
517	0.7158163265	1.265450116
518	0.7159863946	1.264784708
519	0.7159863946	1.264050542
520	0.7160714286	1.263360637
521	0.7160714286	1.262695728
522	0.7159863946	1.261994529
523	0.7162414966	1.261316167
524	0.7162414966	1.26064287
525	0.7161564626	1.259943997
526	0.7161564626	1.259224779
527	0.7161564626	1.258525989
528	0.7162414966	1.257837661
529	0.7161564626	1.257142857
530	0.7161564626	1.256480522
531	0.7161564626	1.255821425
532	0.7162414966	1.255153692
533	0.7162414966	1.254470431
534	0.7161564626	1.253795556
535	0.7160714286	1.253134467
536	0.7161564626	1.252434016
537	0.7162414966	1.251744443
538	0.7159863946	1.251067575
539	0.7161564626	1.250398929
540	0.7160714286	1.249734933
541	0.7161564626	1.249081068
542	0.7162414966	1.248416241
543	0.7163265306	1.247771013
544	0.7162414966	1.24713741
545	0.7163265306	1.246459878
546	0.7161564626	1.245830925
547	0.7163265306	1.245171995
548	0.7163265306	1.244526184
549	0.7161564626	1.243856625
550	0.7160714286	1.243203756
551	0.7162414966	1.242505132
552	0.7160714286	1.241839475
553	0.7161564626	1.241201139
554	0.7161564626	1.240547523
555	0.7162414966	1.239893076
556	0.7161564626	1.239247681
557	0.7159863946	1.238604778
558	0.7160714286	1.237932478
559	0.7164965986	1.237270807
560	0.7164965986	1.236636207
561	0.7166666667	1.235965402
562	0.7166666667	1.235309793
563	0.7166666667	1.234671955
564	0.7168367347	1.234023072
565	0.7167517007	1.233397607
566	0.7167517007	1.232723231
567	0.7168367347	1.232109641
568	0.7168367347	1.231482515
569	0.7166666667	1.23083604
570	0.7166666667	1.230182425
571	0.7166666667	1.229560613
572	0.7166666667	1.228950677
573	0.7166666667	1.22831342
574	0.7166666667	1.227671347
575	0.7168367347	1.22703409
576	0.7167517007	1.226394591
577	0.7165816327	1.225762234
578	0.7166666667	1.22511933
579	0.7168367347	1.224503249
580	0.7168367347	1.223854864
581	0.7168367347	1.223257633
582	0.7169217687	1.222631338
583	0.7169217687	1.221995659
584	0.7168367347	1.221392864
585	0.7169217687	1.220761254
586	0.7170918367	1.220126571
587	0.7170068027	1.219480844
588	0.7169217687	1.218862355
589	0.7170918367	1.218257068
590	0.7170918367	1.217655104
591	0.7170068027	1.216999827
592	0.7168367347	1.21637486
593	0.7169217687	1.215779373
594	0.7170918367	1.215179817
595	0.7170918367	1.214564483
596	0.7170068027	1.213954796
597	0.7170068027	1.213360222
598	0.7170918367	1.212745968
599	0.7170918367	1.212134038
600	0.7170918367	1.211487315
601	0.7172619048	1.21088643
602	0.7172619048	1.210286126
603	0.7170918367	1.209663734
604	0.7173469388	1.20905031
605	0.7173469388	1.208474669
606	0.7172619048	1.207877853
607	0.7173469388	1.207262436
608	0.7173469388	1.20665441
609	0.7173469388	1.206064819
610	0.7172619048	1.205509025
611	0.7173469388	1.204900085
612	0.7172619048	1.204315476
613	0.7172619048	1.203706038
614	0.7172619048	1.203125747
615	0.7173469388	1.202558328
616	0.7173469388	1.20196774
617	0.7172619048	1.201349583
618	0.7171768707	1.200733252
619	0.7170068027	1.20013544
620	0.7171768707	1.199551495
621	0.7170068027	1.198926861
622	0.7173469388	1.198346155
623	0.7174319728	1.19775864
624	0.7176020408	1.197186487
625	0.7175170068	1.196631524
626	0.7176020408	1.196039441
627	0.7176020408	1.195471524
628	0.7176020408	1.194892728
629	0.7177721088	1.194327799
630	0.7178571429	1.193728908
631	0.7179421769	1.19316099
632	0.7178571429	1.192605529
633	0.7176870748	1.192046579
634	0.7177721088	1.191473845
635	0.7178571429	1.190880019
636	0.7180272109	1.19033145
637	0.7180272109	1.189753152
638	0.7181122449	1.18918565
639	0.7181122449	1.188618064
640	0.7181122449	1.188064513
641	0.7181972789	1.187500581
642	0.7181972789	1.186942296
643	0.7182823129	1.186409422
644	0.7183673469	1.185812025
645	0.7183673469	1.185243941
646	0.7182823129	1.184665561
647	0.7182823129	1.184114583
648	0.7182823129	1.183526072
649	0.7182823129	1.182966209
650	0.7183673469	1.182415232
651	0.7181972789	1.181840173
652	0.7183673469	1.181270013
653	0.7182823129	1.18067411
654	0.7183673469	1.180120974
655	0.718452381	1.179577138
656	0.7182823129	1.179011629
657	0.7182823129	1.178419214
658	0.7182823129	1.177863006
659	0.7182823129	1.177311945
660	0.718452381	1.176766947
661	0.718452381	1.176209243
662	0.7183673469	1.175643817
663	0.718452381	1.175097988
664	0.7183673469	1.174562042
665	0.7183673469	1.174004172
666	0.718452381	1.173460668
667	0.718452381	1.172915753
668	0.718622449	1.172357385
669	0.718707483	1.171798436
670	0.718707483	1.171232345
671	0.718622449	1.170706198
672	0.718622449	1.170187108
673	0.718537415	1.169672918
674	0.718622449	1.169148099
675	0.718707483	1.168594464
676	0.718792517	1.168055196
677	0.718792517	1.167514931
678	0.718877551	1.166989945
679	0.718792517	1.166445611
680	0.718792517	1.165901278
681	0.7191326531	1.165328045
682	0.7191326531	1.164806298
683	0.7193877551	1.164260885
684	0.7194727891	1.163712565
685	0.7193877551	1.163208423
686	0.7194727891	1.16266193
687	0.7196428571	1.162111617
688	0.7197278912	1.161581981
689	0.7198979592	1.161058574
690	0.7195578231	1.160517811
691	0.7194727891	1.159992078
692	0.7195578231	1.159430305
693	0.7197278912	1.158882816
694	0.7196428571	1.158365304
695	0.7198129252	1.157844471
696	0.7197278912	1.157344066
697	0.7198129252	1.156824063
698	0.7196428571	1.156322495
699	0.7200680272	1.155789122
700	0.7199829932	1.155269784
701	0.7199829932	1.154715485
702	0.7198979592	1.154190915
703	0.7200680272	1.153681707
704	0.7201530612	1.153159877
705	0.7200680272	1.152655154
706	0.7199829932	1.152154499
707	0.7201530612	1.151602692
708	0.7202380952	1.151099961
709	0.7203231293	1.150556541
710	0.7202380952	1.150061201
711	0.7204931973	1.149540534
712	0.7204931973	1.149003674
713	0.7205782313	1.148484584
714	0.7205782313	1.147955613
715	0.7207482993	1.147439762
716	0.7206632653	1.146928977
717	0.7206632653	1.146443602
718	0.7207482993	1.145926007
719	0.7208333333	1.145407582
720	0.7207482993	1.144896963
721	0.7209183673	1.144386011
722	0.7210034014	1.143867337
723	0.7210034014	1.14337972
724	0.7210884354	1.142871841
725	0.7210884354	1.142359063
726	0.7210884354	1.14187211
727	0.7210884354	1.141368383
728	0.7211734694	1.140885666
729	0.7210884354	1.14039016
730	0.7211734694	1.139862683
731	0.7211734694	1.139377059
732	0.7212585034	1.138870758
733	0.7214285714	1.138338631
734	0.7215136054	1.137859485
735	0.7214285714	1.13734081
736	0.7215136054	1.136837333
737	0.7215136054	1.136357438
738	0.7215986395	1.135848148
739	0.7215986395	1.135343341
740	0.7215136054	1.134851988
741	0.7215136054	1.134359222
742	0.7218537415	1.133860395
743	0.7216836735	1.133380584
744	0.7217687075	1.132894711
745	0.7216836735	1.132407426
746	0.7216836735	1.131909512
747	0.7218537415	1.131454447
748	0.7219387755	1.130956782
749	0.7219387755	1.130476805
750	0.7221088435	1.130000149
751	0.7221088435	1.129503398
752	0.7220238095	1.129031559
753	0.7219387755	1.128512802
754	0.7220238095	1.12803789
755	0.7220238095	1.127554176
756	0.7221088435	1.127059584
757	0.7221088435	1.126562085
758	0.7221938776	1.126092322
759	0.7221938776	1.125630614
760	0.7223639456	1.125148145
761	0.7223639456	1.124661774
762	0.7223639456	1.124175569
763	0.7223639456	1.123698249
764	0.7223639456	1.12321221
765	0.7223639456	1.12272833
766	0.7223639456	1.12227177
767	0.7224489796	1.121802422
768	0.7224489796	1.12131439
769	0.7223639456	1.12082968
770	0.7223639456	1.120366228
771	0.7224489796	1.119899537
772	0.7223639456	1.119431933
773	0.7223639456	1.118982515
774	0.7223639456	1.118522717
775	0.7223639456	1.11802937
776	0.7224489796	1.117558859
777	0.7223639456	1.117098563
778	0.7225340136	1.116629547
779	0.7223639456	1.116168171
780	0.7224489796	1.115707045
781	0.7225340136	1.1152509
782	0.7227040816	1.114754481
783	0.7227040816	1.114292939
784	0.7227891156	1.113839618
785	0.7226190476	1.113375252
786	0.7227040816	1.112926748
787	0.7227891156	1.112475669
788	0.7228741497	1.112024922
789	0.7228741497	1.111591282
790	0.7228741497	1.11110026
791	0.7228741497	1.110657153
792	0.7228741497	1.110167627
793	0.7228741497	1.109716133
794	0.7230442177	1.109258078
795	0.7229591837	1.108790059
796	0.7228741497	1.108305016
797	0.7228741497	1.107845966
798	0.7230442177	1.107388493
799	0.7228741497	1.106938825
800	0.7229591837	1.106503441
801	0.7229591837	1.106066147
802	0.7230442177	1.105615899
803	0.7231292517	1.105153609
804	0.7231292517	1.104705935
805	0.7232993197	1.104260337
806	0.7233843537	1.103800871
807	0.7234693878	1.10332488
808	0.7234693878	1.10286641
809	0.7233843537	1.102425462
810	0.7234693878	1.1019459
811	0.7233843537	1.10151691
812	0.7234693878	1.101092322
813	0.7234693878	1.100630364
814	0.7234693878	1.100170151
815	0.7234693878	1.099719903
816	0.7235544218	1.099247814
817	0.7235544218	1.09880396
818	0.7234693878	1.098364424
819	0.7233843537	1.097924389
820	0.7234693878	1.097494071
821	0.7235544218	1.097029373
822	0.7235544218	1.096590003
823	0.7234693878	1.09614291
824	0.7233843537	1.095705035
825	0.7233843537	1.095268903
826	0.7234693878	1.094802545
827	0.7233843537	1.094394315
828	0.7233843537	1.093966488
829	0.7234693878	1.093531851
830	0.7234693878	1.09311374
831	0.7235544218	1.092685995
832	0.7234693878	1.092241892
833	0.7235544218	1.091775866
834	0.7235544218	1.091376106
835	0.7235544218	1.090927352
836	0.7235544218	1.090479761
837	0.7235544218	1.090041222
838	0.7236394558	1.089597949
839	0.7235544218	1.089157582
840	0.7236394558	1.088704842
841	0.7234693878	1.088311145
842	0.7236394558	1.087871443
843	0.7234693878	1.087439214
844	0.7233843537	1.087024673
845	0.7233843537	1.086596264
846	0.7233843537	1.08616387
847	0.7233843537	1.085723835
848	0.7233843537	1.085309045
849	0.7233843537	1.084892927
850	0.7235544218	1.084460864
851	0.7236394558	1.084029383
852	0.7234693878	1.083623811
853	0.7234693878	1.083183029
854	0.7236394558	1.082753209
855	0.7237244898	1.082306697
856	0.7237244898	1.081881444
857	0.7238945578	1.081471304
858	0.7239795918	1.081048459
859	0.7238095238	1.08063832
860	0.7238945578	1.080192639
861	0.7238945578	1.079755428
862	0.7238945578	1.079336319
863	0.7238945578	1.078959313
864	0.7239795918	1.078551748
865	0.7240646259	1.078120267
866	0.7240646259	1.077677409
867	0.7241496599	1.077264114
868	0.7242346939	1.076865018
869	0.7243197279	1.076438271
870	0.7244047619	1.07601609
871	0.7244897959	1.075582201
872	0.7244897959	1.075189749
873	0.7245748299	1.074754365
874	0.7245748299	1.074316821
875	0.724829932	1.073906017
876	0.724744898	1.073500445
877	0.724744898	1.073116879
878	0.7245748299	1.072709728
879	0.724744898	1.072273348
880	0.724744898	1.071879899
881	0.724829932	1.071444266
882	0.724914966	1.071048244
883	0.724914966	1.070615351
884	0.724914966	1.070205128
885	0.724914966	1.069776304
886	0.724914966	1.069402536
887	0.724914966	1.068976785
888	0.725085034	1.068566728
889	0.725	1.068173695
890	0.724829932	1.067765715
891	0.725	1.067366703
892	0.724914966	1.066962127
893	0.725	1.066555807
894	0.724914966	1.066163106
895	0.725	1.065760025
896	0.725	1.065360597
897	0.725	1.064948216
898	0.725	1.06453683
899	0.724914966	1.064156087
900	0.725	1.063737311
901	0.725	1.063340541
902	0.724914966	1.062916534
903	0.724914966	1.062519432
904	0.725085034	1.062114108
905	0.725	1.0617376
906	0.725085034	1.061317828
907	0.725255102	1.060924213
908	0.725085034	1.060514157
909	0.725085034	1.060102273
910	0.725170068	1.059697531
911	0.725170068	1.059279088
912	0.725170068	1.058894525
913	0.725085034	1.058522999
914	0.725170068	1.058142339
915	0.725255102	1.057727383
